id,pic,line,x0,y0,x1,y1,w0,c_gray,red,green,blue,alpha
0,1,1,393,172,399,181,6.310463,0,0,0,0,0
1,1,1,399,181,389,269,8.865706,0,0,0,0,0
2,1,1,389,269,382,303,8.907215,0,0,0,0,0
3,1,1,382,303,374,350,8.893175,0,0,0,0,0
4,1,1,374,350,371,376,8.762545,0,0,0,0,0
5,1,1,371,376,370,403,7.196191,0,0,0,0,0
6,1,1,370,403,365,417,4.112929,0,0,0,0,0
7,1,1,365,417,359,414,4.0,0,0,0,0,0
8,1,2,265,331,268,327,6.2182884,0,0,0,0,0
9,1,2,268,327,270,321,6.8177266,0,0,0,0,0
10,1,2,270,321,281,297,8.164937,0,0,0,0,0
11,1,2,281,297,295,271,8.5043335,0,0,0,0,0
12,1,2,295,271,309,251,8.782688,0,0,0,0,0
13,1,2,309,251,323,236,8.997559,0,0,0,0,0
14,1,2,323,236,347,214,9.0,0,0,0,0,0
15,1,2,347,214,381,189,9.0,0,0,0,0,0
16,1,2,381,189,399,180,9.0,0,0,0,0,0
17,1,2,399,180,422,172,9.0,0,0,0,0,0
18,1,2,422,172,441,169,9.0,0,0,0,0,0
19,1,2,441,169,454,170,9.0,0,0,0,0,0
20,1,2,454,170,465,173,9.0,0,0,0,0,0
21,1,2,465,173,479,177,9.0,0,0,0,0,0
22,1,2,479,177,488,183,9.0,0,0,0,0,0
23,1,2,488,183,494,191,9.0,0,0,0,0,0
24,1,2,494,191,496,203,9.0,0,0,0,0,0
25,1,2,496,203,495,216,9.0,0,0,0,0,0
26,1,2,495,216,491,227,9.0,0,0,0,0,0
27,1,2,491,227,480,242,9.0,0,0,0,0,0
28,1,2,480,242,459,258,9.0,0,0,0,0,0
29,1,2,459,258,443,264,9.0,0,0,0,0,0
30,1,2,443,264,429,267,9.0,0,0,0,0,0
31,1,2,429,267,417,268,9.0,0,0,0,0,0
32,1,2,417,268,411,267,7.5148335,0,0,0,0,0
33,1,2,411,267,408,263,4.038457,0,0,0,0,0
34,1,2,408,263,408,257,4.0,0,0,0,0,0
35,1,3,449,328,447,333,5.4851665,0,0,0,0,0
36,1,3,447,333,450,338,5.7140765,0,0,0,0,0
37,1,3,450,338,454,340,6.2659016,0,0,0,0,0
38,1,3,454,340,474,342,6.4398727,0,0,0,0,0
39,1,3,474,342,485,340,6.5222807,0,0,0,0,0
40,1,3,485,340,499,331,6.5723357,0,0,0,0,0
41,1,3,499,331,504,319,6.7322674,0,0,0,0,0
42,1,3,504,319,500,304,7.149188,0,0,0,0,0
43,1,3,500,304,493,299,7.4904165,0,0,0,0,0
44,1,3,493,299,484,299,7.616164,0,0,0,0,0
45,1,3,484,299,470,310,7.6552315,0,0,0,0,0
46,1,3,470,310,456,331,7.6637774,0,0,0,0,0
47,1,3,456,331,449,353,7.6521792,0,0,0,0,0
48,1,3,449,353,451,367,7.6210475,0,0,0,0,0
49,1,3,451,367,457,374,7.6167746,0,0,0,0,0
50,1,3,457,374,479,374,7.619827,0,0,0,0,0
51,1,3,479,374,496,366,7.5960197,0,0,0,0,0
52,1,3,496,366,512,353,7.1656694,0,0,0,0,0
53,1,3,512,353,521,341,6.4819927,0,0,0,0,0
54,1,3,521,341,527,328,6.2066903,0,0,0,0,0
55,1,3,527,328,537,312,6.2005863,0,0,0,0,0
56,1,3,537,312,542,302,6.2030277,0,0,0,0,0
57,1,3,542,302,547,295,6.2933707,0,0,0,0,0
58,1,3,547,295,548,293,6.503968,0,0,0,0,0
59,1,3,548,293,548,294,6.7359295,0,0,0,0,0
60,1,3,548,294,545,308,6.9422536,0,0,0,0,0
61,1,3,545,308,538,328,6.933097,0,0,0,0,0
62,1,3,538,328,536,340,6.8970823,0,0,0,0,0
63,1,3,536,340,537,343,6.8964715,0,0,0,0,0
64,1,3,537,343,544,330,6.9147844,0,0,0,0,0
65,1,3,544,330,554,314,6.8964715,0,0,0,0,0
66,1,3,554,314,572,295,6.901355,0,0,0,0,0
67,1,3,572,295,583,286,7.077158,0,0,0,0,0
68,1,3,583,286,587,288,7.307899,0,0,0,0,0
69,1,3,587,288,582,303,7.6888046,0,0,0,0,0
70,1,3,582,303,575,325,7.7455745,0,0,0,0,0
71,1,3,575,325,575,340,7.749237,0,0,0,0,0
72,1,3,575,340,582,350,7.7431326,0,0,0,0,0
73,1,3,582,350,596,354,7.7358074,0,0,0,0,0
