id,pic,line,x0,y0,x1,y1,w0,c_gray,red,green,blue,alpha
0,1,1,64,392,64,393,7.4548893,0,0,0,0,0
1,1,1,64,393,65,394,8.505066,0,0,0,0,0
2,1,1,65,394,65,394,9.189964,0,0,0,0,0
3,1,1,65,394,64,393,9.536442,0,0,0,0,0
4,1,1,64,393,64,393,10.250885,0,0,0,0,0
5,1,1,64,393,64,393,10.551703,0,0,0,0,0
6,1,1,64,393,63,393,10.809547,0,0,0,0,0
7,1,1,63,393,63,394,10.884752,0,0,0,0,0
8,1,1,63,394,64,395,10.935783,0,0,0,0,0
9,1,1,64,395,64,394,11.153339,0,0,0,0,0
10,1,1,64,394,64,394,11.411183,0,0,0,0,0
11,1,1,64,394,65,394,11.56965,0,0,0,0,0
12,1,1,65,394,66,393,11.870468,0,0,0,0,0
13,1,1,66,393,68,393,12.130998,0,0,0,0,0
14,1,1,68,393,70,393,12.686974,0,0,0,0,0
15,1,1,70,393,72,392,13.006593,0,0,0,0,0
16,1,1,72,392,74,391,13.108656,0,0,0,0,0
17,1,1,74,391,76,389,13.237578,0,0,0,0,0
18,1,1,76,389,79,388,13.285924,0,0,0,0,0
19,1,1,79,388,81,386,13.516909,0,0,0,0,0
20,1,1,81,386,84,384,13.806984,0,0,0,0,0
21,1,1,84,384,86,382,14.424735,0,0,0,0,0
22,1,1,86,382,89,380,15.251984,0,0,0,0,0
23,1,1,89,380,92,378,15.555488,0,0,0,0,0
24,1,1,92,378,94,376,16.334393,0,0,0,0,0
25,1,1,94,376,97,374,16.844707,0,0,0,0,0
26,1,1,97,374,99,373,17.46246,0,0,0,0,0
27,1,1,99,373,102,371,18.351482,0,0,0,0,0
28,1,1,102,371,105,368,18.617386,0,0,0,0,0
29,1,1,105,368,108,365,19.221706,0,0,0,0,0
30,1,1,108,365,111,362,19.6031,0,0,0,0,0
31,1,1,111,362,115,359,20.62642,0,0,0,0,0
32,1,1,115,359,117,357,21.335491,0,0,0,0,0
33,1,1,117,357,122,353,21.79746,0,0,0,0,0
34,1,1,122,353,126,350,22.361494,0,0,0,0,0
35,1,1,126,350,131,347,23.277376,0,0,0,0,0
36,1,1,131,347,136,343,23.570139,0,0,0,0,0
37,1,1,136,343,140,340,24.27921,0,0,0,0,0
38,1,1,140,340,144,337,24.633745,0,0,0,0,0
39,1,1,144,337,147,334,24.996336,0,0,0,0,0
40,1,1,147,334,150,331,25.18972,0,0,0,0,0
41,1,1,150,331,155,327,25.807472,0,0,0,0,0
42,1,1,155,327,159,323,26.865705,0,0,0,0,0
43,1,1,159,323,165,318,27.0,0,0,0,0,0
44,1,1,165,318,171,312,27.0,0,0,0,0,0
45,1,1,171,312,177,307,27.0,0,0,0,0,0
46,1,1,177,307,181,302,27.0,0,0,0,0,0
47,1,1,181,302,185,298,27.0,0,0,0,0,0
48,1,1,185,298,191,293,27.0,0,0,0,0,0
49,1,1,191,293,197,286,27.0,0,0,0,0,0
50,1,1,197,286,203,279,27.0,0,0,0,0,0
51,1,1,203,279,209,272,27.0,0,0,0,0,0
52,1,1,209,272,216,263,27.0,0,0,0,0,0
53,1,1,216,263,223,255,27.0,0,0,0,0,0
54,1,1,223,255,228,249,27.0,0,0,0,0,0
55,1,1,228,249,234,242,27.0,0,0,0,0,0
56,1,1,234,242,240,236,27.0,0,0,0,0,0
57,1,1,240,236,247,229,27.0,0,0,0,0,0
58,1,1,247,229,254,222,27.0,0,0,0,0,0
59,1,1,254,222,259,215,27.0,0,0,0,0,0
60,1,1,259,215,265,208,27.0,0,0,0,0,0
61,1,1,265,208,271,200,27.0,0,0,0,0,0
62,1,1,271,200,276,192,27.0,0,0,0,0,0
63,1,1,276,192,279,185,27.0,0,0,0,0,0
64,1,1,279,185,284,177,27.0,0,0,0,0,0
65,1,1,284,177,289,170,27.0,0,0,0,0,0
66,1,1,289,170,295,164,27.0,0,0,0,0,0
67,1,1,295,164,302,157,27.0,0,0,0,0,0
68,1,1,302,157,304,154,27.0,0,0,0,0,0
69,1,1,304,154,304,152,25.023197,0,0,0,0,0
70,1,1,304,152,297,149,8.223049,0,0,0,0,0
71,1,1,297,149,289,146,5.0,0,0,0,0,0
72,1,2,230,259,230,260,7.293737,0,0,0,0,0
73,1,2,230,260,229,261,8.193505,0,0,0,0,0
74,1,2,229,261,229,261,8.792456,0,0,0,0,0
75,1,2,229,261,229,261,9.326944,0,0,0,0,0
76,1,2,229,261,229,261,10.116591,0,0,0,0,0
77,1,2,229,261,228,261,11.588451,0,0,0,0,0
78,1,2,228,261,228,261,11.98596,0,0,0,0,0
79,1,2,228,261,226,261,12.442559,0,0,0,0,0
80,1,2,226,261,226,262,12.50702,0,0,0,0,0
81,1,2,226,262,227,262,12.764864,0,0,0,0,0
82,1,2,227,262,228,263,12.928702,0,0,0,0,0
83,1,2,228,263,229,266,13.183861,0,0,0,0,0
84,1,2,229,266,231,269,13.237578,0,0,0,0,0
85,1,2,231,269,232,272,13.232206,0,0,0,0,0
86,1,2,232,272,234,275,13.251007,0,0,0,0,0
87,1,2,234,275,235,276,13.296667,0,0,0,0,0
88,1,2,235,276,236,278,13.433646,0,0,0,0,0
89,1,2,236,278,239,281,13.726407,0,0,0,0,0
90,1,2,239,281,240,283,13.909047,0,0,0,0,0
91,1,2,240,283,242,286,14.040654,0,0,0,0,0
92,1,2,242,286,243,289,14.0675125,0,0,0,0,0
