character,points,x,y,finger
a,1,1.7,4,1
s,1,3.7,4,2
d,1,5.7,4,3
f,1,7.7,4,4
j,1,13.7,4,5
k,1,15.7,4,6
l,1,17.7,4,7
ö,1,19.7,4,8
space,1,6.6,8,9
g,2,9.7,4,4
h,2,11.7,4,5
ä,2,21.7,4,8
.,3,18.6,6,8
pilkku,3,16.6,6,7
r,4,7.3,2,4
u,4,13.3,2,5
e,5,5.3,2,3
i,5,15.3,2,6
b,6,10.6,6,4
n,6,12.6,6,5
t,8,9.3,2,4
y,8,11.3,2,5
v,9,8.6,6,4
m,9,14.6,6,5
-,10,20.6,6,8
c,11,6.6,6,3
w,12,3.3,2,2
o,12,17.3,2,7
q,13,1.3,2,1
p,13,19.3,2,8
å,14,21.3,2,8
x,15,4.6,6,2
z,16,2.6,6,1
0,17,18,0,8
1,17,0,0,1
2,17,2,0,2
3,17,4,0,3
4,17,6,0,4
5,17,8,0,4
6,17,10,0,5
7,17,12,0,5
8,17,14,0,6
9,17,16,0,7
